speaker,script,position1,function1,position2,function2,match,agreement
*DANA:,I thought they were gonna be back by now,,,,,,
*KELL:,You didn't hear em playing last night,,,,,,
*DANA:,I know,,,,,,
*KELL:,Where did they go,,,,,,
*DANA:,They went out to dinner with Arianna's parents,,,,,,
*KELL:,Arianna's parents,,,,,,
*KELL:,Yeah,,,,,,
*KELL:,That was her grandma on the phone,,,,,,
*DANA:,They left at like,,,,,,
,quarter of eight,,,,,,
*KELL:,Mm,,,,,,
*KELL:,Maybe they went shopping,,,,,,
*KELL:,First,,,,,,
,and then went to dinner,,,,,,
*DANA:,I think they're hanging out,,,,,,
*DANA:,With,,,,,,
*KELL:,,,,,,,
*DANA:,the Callahans,,,,,,
*DANA:,Gotta have some of my sister's bread,,,,,,
*DANA:,It is so good,,,,,,
*KELL:,What,,,,,,
*KELL:,Is it like regular bread,,,,,,
,or is it,,,,,,
*DANA:,No,,,,,,
*DANA:,Molasses,,,,,,
*KELL:,Oh,,,,,,
*DANA:,Oh,,,,,,
,I love this bread,,,,,,
*DANA:,,,,,,,
,l It's so good,,,,,,
*DANA:,Oh,,,,,,
*KELL:,You should make it,,,,,,
*DANA:,No,,,,,,
,I don't know how to make it,,,,,,
*KELL:,That is the cutest cutting board,,,,,,
*KELL:,Isn't it,,,,,,
*DANA:,I know laugh,,,,,,
*KELL:,l,,,,,,
*DANA:,,,,,,,
,l,,,,,,
*DANA:,You wanna piece of toast,,,,,,
*KELL:,Sure,,,,,,
*DANA:,Here,,,,,,
*DANA:,Try some of it first,,,,,,
*KELL:,,,,,,,
,l It's different,,,,,,
*KELL:,I like it,,,,,,
*KELL:,When'd she start making this,,,,,,
*DANA:,I don't know,,,,,,
,l couple years ago,,,,,,
*KELL:,Mm,,,,,,
*KELL:,Does she always come home in the summer,,,,,,
*KELL:,From school,,,,,,
*DANA:,Mhm,,,,,,
*KELL:,Oh really,,,,,,
*DANA:,,,,,,,
,,,,,,,
,Cause,,,,,,
,she gets really homesick,,,,,,
*KELL:,Oh does she,,,,,,
*D+B88ANA:,so,,,,,,
,and she likes to come home,,,,,,
*DANA:,And we have that house,,,,,,
,at the Cape and stuff,,,,,,
*KELL:,Yeah,,,,,,
*KELL:,See I don't really miss home,,,,,,
*KELL:,I mean I miss my family you know,,,,,,
,but like,UI,T2,UI,T1,UNMATCH,T3
,I don't think about them,,,,,,
,when I'm up here really,,,,,,
*KELL:,Except for I call every few days,,,,,,
*DANA:,l Oh I don't,,,,,,
,I miss my house,,,,,,
*KELL:,Yeah,,,,,,
*KELL:,I miss my house,,,,,,
*DANA:,I miss the feeling of being ho me,,,,,,
*KELL:,Mm,,,,,,
*KELL:,Mhm,,,,,,
*KELL:,But like I'm not homesick at all,UI,T3,UI,T1,UNMATCH,T3
*KELL:,Like I'm perfectly,,,,,,
,happy up here,,,,,,
*DANA:,Yeah,,,,,,
*KELL:,Plus it's such a pain to drive home,,,,,,
*KELL:,Four hours or whatever,,,,,,
*DANA:,Mhm,,,,,,
*DANA:,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,This on the bread,,,,,,
*DANA:,It's good,,,,,,
*DANA:,,,,,,,
,We have so many plates,,,,,,
*DANA:,These are such awesome cups,,,,,,
,where do you think they got them,,,,,,
*KELL:,I have no idea,,,,,,
*KELL:,I love em though,,,,,,
*KELL:,I totally would,,,,,,
*DANA:,l,,,,,,
*KELL:,I would use that,,,,,,
,all the time,,,,,,
*KELL:,And I really try hard not to lose it too laugh,,,,,,
*KELL:,This is cute,,,,,,
*KELL:,who brought this,,,,,,
*DANA:,I did,,,,,,
*KELL:,Oh really,,,,,,
*KELL:,Oh yeah,,,,,,
*KELL:,I think I l,,,,,,
*KELL:,,,,,,,
,,,,,,,
*DANA:,It's not really for sugar but,TF,I2,TF,T4,UNMATCH,I2
*KELL:,That's okay,,,,,,
*KELL:,It's basically for cream,,,,,,
*KELL:,I won't tell,,,,,,
*KELL:,Just as long as it's something white,,,,,,
*DANA:,Whoops,,,,,,
*DANA:,What'd you have for dinner,,,,,,
*KELL:,l,,,,,,
*DANA:,Oh you made pasta,,,,,,
*KELL:,Yeah,,,,,,
,and then we went to Hank's where we made,,,,,,
,chicken sandwiches,,,,,,
*KELL:,And then we had free ice cream out on the quad,,,,,,
*DANA:,Oh was there free ice cre,,,,,,
*DANA:,Did you see anybody,,,,,,
*KELL:,Na,,,,,,
*KELL:,I saw that girl,,,,,,
,Amanda,,,,,,
*KELL:,That lived on our floor,,,,,,
,the one with the weird laugh,,,,,,
,She got a birthmark on her face,,,,,,
*DANA:,Mm,,,,,,
*KELL:,like a stain colored birthmark,,,,,,
*DANA:,Oh yeah,,,,,,
*KELL:,And then I th,,,,,,
*DANA:,No she u sed to be on our floor,,,,,,
*DANA:,She l,,,,,,
*KELL:,Yeah,,,,,,
*KELL:,Yeah,,,,,,
*KELL:,Used to be,,,,,,
*DANA:,The weird weird one,,,,,,
*DANA:,She went out with Tom Engle,,,,,,
*KELL:,Yeah,,,,,,
*KELL:,That's right,,,,,,
*KELL:,Yeah,,,,,,
,he was in their room,,,,,,
*KELL:,And that girl Laura,,,,,,
*KELL:,Lara,,,,,,
,from New Jersey,,,,,,
*DANA:,Which,,,,,,
*KELL:,that was in their room too,,,,,,
*KELL:,The triple,,,,,,
*KELL:,Oh no,,,,,,
*KELL:,I hate bugs,,,,,,
*KELL:,,,,,,,
*DANA:,That's just a fly,,,,,,
*KELL:,Um,,,,,,
,the other girl that was in the,,,,,,
*DANA:,Here,,,,,,
*KELL:,in Sharon's triple,,,,,,
*KELL:,Lara,,,,,,
*KELL:,From,,,,,,
,Newark,,,,,,
*KELL:,New Jersey,,,,,,
*DANA:,Oh yeah,,,,,,
*KELL:,But they live in that,TI,T4,TI,T4,MATCH,
*DANA:,Didn't see them around there last year,,,,,,
*KELL:,They live in that Redstone SAFE House,,,,,,
*DANA:,Oh,,,,,,
*KELL:,That's why,,,,,,
*KELL:,And it was like,,,,,,
,a free ice cream thing for Coolidge and the SAFE House,,,,,,
*DANA:,I gotcha,,,,,,
*DANA:,,,,,,,
*DANA:,,,,,,,
*DANA:,Isn't it good bread,,,,,,
*KELL:,Mm,,,,,,
*DANA:,,,,,,,
*KELL:,l Yeah it is,,,,,,
*KELL:,It's thick,,,,,,
*KELL:,Thick,,,,,,
*KELL:,It's not as light,,,,,,
*DANA:,Mhm,,,,,,
*DANA:,l No,,,,,,
*DANA:,That's the dough,,,,,,
*KELL:,Yeah it's heavier,,,,,,
*KELL:,So it's good,,,,,,
*KELL:,I think I'm totally just gonna stay in and read,,,,,,
,I'm so exhausted,,,,,,
*KELL:,I didn't get that much sleep last night,,,,,,
*KELL:,No going out for me tonight,,,,,,
*KELL:,Last night was enough,,,,,,
*KELL:,,,,,,,
*DANA:,Mm,,,,,,
,I'm tired now,,,,,,
*DANA:,l I still kinda wanna hang out though,,,,,,
*KELL:,Yeah,,,,,,
*KELL:,Are they partying at Ed's or something,,,,,,
*DANA:,They were gonna come here,,,,,,
*KELL:,Ah,,,,,,
*DANA:,l,TI,I2,TI,I2,MATCH,
,,,,,,,
*KELL:,I think I'm totally just gonna sleep,,,,,,
*KELL:,I hope that plug isn't messing up the,,,,,,
*DANA:,Mm mm,,,,,,
*DANA:,l,,,,,,
*NANC:,l,,,,,,
