speaker,script,position1,function1,position2,function2,match,agreement
*FRED:,Yeah,,,,,,
*FRED:,I tell you man,,,,,,
,that factory's the pits man,,,,,,
*RICH:,What's new,,,,,,
*FRED:,last night I got into a hassle with James Boyd,,,,,,
*FRED:,I'm in the cafeteria,,,,,,
*RICH:,Yeah,,,,,,
*FRED:,and I took a break,,,,,,
,that was jut a little bit too long man,,,,,,
*FRED:,You know,,,,,,
*RICH:,Yeah,,,,,,
*FRED:,,,,,,,
*RICH:,I can imagine,,,,,,
*FRED:,half hour break,,,,,,
*RICH:,You stretched a fifteen minute break into a half hour break,,,,,,
*FRED:,,,,,,,
,to a half hour,,,,,,
*FRED:,And then he comes into the cafeteria,,,,,,
*FRED:,And I thought he was coming in to chase everybody away,,,,,,
*RICH:,He was after you,,,,,,
*FRED:,But he's coming after me,TI,T3,TI,T3,match,T3
*FRED:,And he calls me,,,,,,
*FRED:,And I'm walking out the door,,,,,,
*FRED:,Right as he's walking in the other one,,,,,,
*RICH:,Unhunh,,,,,,
*FRED:,,,,,,,
,And he goes,,,,,,
,Fred,,,,,,
,I wanna talk to you,,,,,,
,come here,,,,,,
*FRED:,And I go,,,,,,
,oh man,,,,,,
,what is this about,,,,,,
*FRED:,And on my production card,,,,,,
*FRED:,Let's see,,,,,,
*FRED:,The day before yesterday,,,,,,
*FRED:,I did ice cream,,,,,,
*FRED:,Right,,,,,,
,Balian,,,,,,
*RICH:,Unhunh,,,,,,
*FRED:,And you gotta pack those in cases,,,,,,
*FRED:,And,,,,,,
*RICH:,Right,,,,,,
*FRED:,so like,,,,,,
,I didn't put that down on my production card,,,,,,
*RICH:,How many cases you packed,,,,,,
*FRED:,I don't know man,,,,,,
*FRED:,I packed two pallets,,,,,,
*FRED:,You know,,,,,,
,I don't know how many cases that is,,,,,,
*RICH:,Unhunh,,,,,,
*FRED:,but,TI,I2,TI,I2,match,I2
,you know,,,,,,
,that,,,,,,
,that shit was heavy man,,,,,,
*FRED:,And like,,,,,,
,and like,,,,,,
,I put down on the card,,,,,,
,you know,,,,,,
,no cases,,,,,,
*FRED:,Because it was lost time,,,,,,
*FRED:,You know,,,,,,
,you know we,,,,,,
*RICH:,Right,,,,,,
*FRED:,we stripped the sides and everything,,,,,,
*RICH:,Right,,,,,,
*RICH:,Yeah,,,,,,
*FRED:,and l ike,,,,,,
*RICH:,Y y you were teaming up with s omebody,,,,,,
*FRED:,there were no cases,,,,,,
*RICH:,or working alone,,,,,,
*FRED:,uh,,,,,,
,I w,,,,,,
*FRED:,uh,,,,,,
,uh Gutierrez was doing the same job,,,,,,
*FRED:,But we weren't working together,UI,T4,UI,T1,UNMATCH,T1
*RICH:,Oh you're working alone,,,,,,
*FRED:,N yeah,,,,,,
,and so,,,,,,
,he comes and says,,,,,,
,well,,,,,,
,he goes,,,,,,
,I don't know if you've,,,,,,
,if you've,,,,,,
,packed this or not,,,,,,
*FRED:,You know,,,,,,
*FRED:,On your production card,,,,,,
,all it says,,,,,,
,you know,,,,,,
,is that you did three thousand sheets,,,,,,
,but you did,UI,T3,UI,T1,UNMATCH,T1
*RICH:,Two loads,,,,,,
*FRED:,Yeah,,,,,,
*FRED:,But you didn't pack it,UI,T1,TI,T3,UNMATCH,T1
*FRED:,So I go,,,,,,
,yeah,,,,,,
,I go look man,,,,,,
,there they are,,,,,,
*FRED:,You could see,,,,,,
,there's my name,,,,,,
,uh stamped right on there,,,,,,
*FRED:,I just didn't put it down,,,,,,
*FRED:,Oh,,,,,,
,well I gotta figure it out,,,,,,
*FRED:,And he goes,,,,,,
,and what are you doing in the cafeteria so late,,,,,,
*FRED:,I'm just going,,,,,,
,aw man,,,,,,
,this is the pits man,,,,,,
*FRED:,This is at the bottom of the,,,,,,
*RICH:,That's the last thing you wanted to hear,,,,,,
*FRED:,Yeah really,,,,,,
*FRED:,uh This fucking mayate,,,,,,
*FRED:,You know,,,,,,
,getting on my case,,,,,,
*RICH:,Yeah,,,,,,
*FRED:,,,,,,,
,,,,,,,
*RICH:,Well that's nothing new,,,,,,
*FRED:,It's nothing new,,,,,,
*RICH:,It's always been like that,,,,,,
*FRED:,it's,,,,,,
*FRED:,It's par for the course man,,,,,,
*FRED:,Right,,,,,,
*FRED:,,,,,,,
*RICH:,Yeah,,,,,,
,definitely,,,,,,
*RICH:,Ts why I can't take that,,,,,,
,that type of living anymore,,,,,,
,even is this,,,,,,
,uh,,,,,,
,career doesn't work out for me,,,,,,
,I'll find something that will,,,,,,
*FRED:,Something else,,,,,,
*FRED:,Well you're gonna do real estate maybe,,,,,,
,right,,,,,,
*RICH:,Definitely,,,,,,
,I'm,,,,,,
*RICH:,I got my books and everything,,,,,,
,I'll be studying and uh,,,,,,
,but in a sense,UI,T4,UI,T4,MATCH,T4
,I need uh,,,,,,
,some type of steady income,,,,,,
*FRED:,But,TI,I2,TI,I2,MATCH,I2
,but uh,TI,I2,TI,I2,MATCH,I2
,you s,,,,,,
*FRED:,Th the competition man,,,,,,
*FRED:,I mean,,,,,,
,is it real tough,,,,,,
*FRED:,Like,,,,,,
,on the lot,,,,,,
*RICH:,Yeah,,,,,,
,it is,,,,,,
*RICH:,There's def,,,,,,
*RICH:,And there's guys that've been doing that four or five years,,,,,,
,and,,,,,,
*FRED:,And they're real good at i t,,,,,,
*RICH:,th at are real good at it,,,,,,
,and they know how to talk to the people,,,,,,
,and they know that,,,,,,
,when somebody's coming in,,,,,,
,if they're buying or not,,,,,,
*FRED:,Oh,,,,,,
,they could tell right away,,,,,,
*RICH:,Yeah but that all comes with time,UI,T4,UI,T4,MATCH,T4
*RICH:,You know,,,,,,
,and,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,and they're pretty helpful with me,,,,,,
,and uh,,,,,,
,you know it'll all come in time,,,,,,
*RICH:,Right,,,,,,
,I I figure,,,,,,
,the more cards I get out,,,,,,
,the more people I talk to,,,,,,
,n the more cars I'm gonna sell,,,,,,
*RICH:,Just all comes with time,,,,,,
*RICH:,Once I get my experience,,,,,,
,I'll be up there too in the top four salesman,,,,,,
*RICH:,,,,,,,
*FRED:,Your parents don't know yet,,,,,,
*FRED:,Hunh,,,,,,
*RICH:,No,,,,,,
*RICH:,They'll know when they come back,,,,,,
*FRED:,I,,,,,,
*FRED:,and I think my dad told me yesterday,,,,,,
,they're coming back the fifteenth,,,,,,
*FRED:,or sixteenth,,,,,,
*RICH:,Yeah,,,,,,
*RICH:,definite,,,,,,
*RICH:,I think s,,,,,,
*RICH:,uh It's gonna be the fifteenth,,,,,,
,which would be on a Saturday I think,,,,,,
*RICH:,And I'll be working till nine o'clock,,,,,,
*RICH:,So they'll,,,,,,
,they'll be pretty happy for me,,,,,,
,more or less,,,,,,
,because uh,,,,,,
,they didn't want me to work in the factory much longer,,,,,,
*FRED:,Yeah,,,,,,
,I know,,,,,,
*FRED:,My mom doesn't know what to do to get me out,,,,,,
*FRED:,But,UI,T4,UI,T4,MATCH,T4
,they didn't take a trip through,,,,,,
,Brazil,,,,,,
,and Argentina,,,,,,
*RICH:,I don't know,,,,,,
,I don't know they they,,,,,,
,they didn't,,,,,,
*FRED:,They spent the whole time in Guayaquil,,,,,,
*RICH:,Yeah I think so,,,,,,
*RICH:,They tol,,,,,,
*RICH:,My dad told me he was gonna go to uh,,,,,,
,Argentina,,,,,,
,and Peru,,,,,,
,and Colombia,,,,,,
,but,UI,T4,UI,T1,UNMATCH,T1
,he only wrote one letter,,,,,,
,and and they were in uh,,,,,,
*FRED:,No one's called em,,,,,,
,y I mean no one's talked to them,,,,,,
*RICH:,No,,,,,,
*FRED:,,,,,,,
*RICH:,He sent postcards to everybody,,,,,,
,and a letter but,UI,T1,UI,T1,MATCH,T1
,,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,Other than that,,,,,,
,he hasn't called or told us what's up,,,,,,
,and he'll be in here no time,,,,,,
*FRED:,Is he staying over at Miguel Juarez's,,,,,,
*RICH:,Yeah,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,And uh,,,,,,
,the other architect,,,,,,
*RICH:,Is his nephew or something,,,,,,
*RICH:,Pe,,,,,,
*RICH:,Pedro Cruz,,,,,,
*FRED:,Pedro Cruz,,,,,,
*RICH:,Yeah,,,,,,
,he's a architect or,,,,,,
*FRED:,I never met him,,,,,,
*FRED:,I know Miguel,,,,,,
*RICH:,That's his,,,,,,
*FRED:,I've been to his house a number of time,,,,,,
*RICH:,his nephew,,,,,,
*RICH:,Th one of his brother's sons or something,,,,,,
*FRED:,Unhunh,,,,,,
*RICH:,But uh,TI,I2,TI,I2,MATCH,I2
,they'll come back,,,,,,
,they'll be happy to see me here,,,,,,
,that I got a new career going,,,,,,
,and uh,,,,,,
*FRED:,They weren't all heartbroken about,,,,,,
,you know,,,,,,
,Jeanie and that,,,,,,
*RICH:,Well they have no idea what's happening right now,,,,,,
*FRED:,They must have been,,,,,,
*FRED:,They have no idea,,,,,,
*RICH:,When they left,,,,,,
,we were on shaky grounds,,,,,,
,but,UI,T1,UI,T1,MATCH,T1
,uh you know,,,,,,
,they thought it might be able to work out,,,,,,
*RICH:,So when they come in,,,,,,
,they'll be pretty shocked,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,And,,,,,,
,and hurt,,,,,,
*RICH:,But uh,UI,T1,UI,T1,MATCH,T1
,like I say,,,,,,
,things will work out f for the best,,,,,,
*FRED:,What about her folks,,,,,,
*FRED:,They're not sorry at all,,,,,,
,huh,,,,,,
*RICH:,No uh,,,,,,
,in fact I've seen em,,,,,,
,I,,,,,,
*RICH:,I w I went to church with em,,,,,,
,for the last three Sundays,,,,,,
*FRED:,Really,,,,,,
*RICH:,With Jeanie,,,,,,
*FRED:,Wow,,,,,,
*RICH:,She thought it might,,,,,,
,you know,,,,,,
,help our relationship as friends,,,,,,
,and uh,,,,,,
*FRED:,She still considers you man,,,,,,
*FRED:,Hunh,,,,,,
*RICH:,Exactly,,,,,,
*RICH:,She does,,,,,,
,because I mean,,,,,,
,we went to church together,,,,,,
,for the last three Sundays,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,and then,,,,,,
,then we went to the movies after,,,,,,
,and her her folks were at church,,,,,,
,and,,,,,,
,you know,,,,,,
,n afterwards,,,,,,
,her mom,,,,,,
,w had a injury on her leg or something,,,,,,
,she wasn't at church last Sunday,,,,,,
,we went to the,,,,,,
,to their house,,,,,,
*RICH:,uh And uh,,,,,,
,I went over there,,,,,,
,and her brother was there,,,,,,
,her nephews and nieces,,,,,,
,her sister,,,,,,
,our godson,,,,,,
,And uh,,,,,,
,you know,,,,,,
,it was just like,,,,,,
,everybody was real friendly and everything,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,I don't know if the parents are aware,,,,,,
,that we did,,,,,,
,you know,,,,,,
*FRED:,Break up,,,,,,
*RICH:,separate,,,,,,
,but it,UI,T4,UI,T4,MATCH,T4
,possibly was for the better,,,,,,
,cause they,,,,,,
,they didn't feel comfortable with us living together anyhow,,,,,,
*FRED:,Yeah,,,,,,
*FRED:,right,,,,,,
,that's not looked on too good hunh,,,,,,
*RICH:,No,,,,,,
*RICH:,So,,,,,,
,w what they,,,,,,
,what they probably think is,,,,,,
,you know,,,,,,
,that we still have a lot of love for each other,,,,,,
,That,,,,,,
,moving out was the best thing,,,,,,
*FRED:,But sh,TI,I2,TI,I2,MATCH,I2
*RICH:,until we both are ready for marriage,,,,,,
,and if she still loves me,,,,,,
,and I still love her,,,,,,
,and,,,,,,
,we wanna get married,,,,,,
,there's still the chance of us getting back together,,,,,,
,and getting married this time,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,So I mean it,,,,,,
*RICH:,I think things are working out pretty good,,,,,,
*RICH:,She called me the other day and uh,,,,,,
,you know,,,,,,
,she calls me and talks to me,,,,,,
,and I call her and ask her how her day was and everything,,,,,,
*FRED:,Yeah,,,,,,
*FRED:,What,,,,,,
,what does uh,,,,,,
,your sisters say,,,,,,
*RICH:,N they tell me to stay away from her,,,,,,
,don't even call or anything,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,Wait till she calls you and everything,,,,,,
*RICH:,But uh,UI,T3,TI,I1,UNMATCH,T3
,you know,,,,,,
,that's not right,,,,,,
*FRED:,Yeah,,,,,,
*FRED:,That's hard man,,,,,,
*RICH:,I mean,,,,,,
,if she accepts me calling her,,,,,,
,and she doesn't tell me,,,,,,
,don't call me or ,,,,,,
*FRED:,They're telling you that,,,,,,
,why,,,,,,
*FRED:,To,,,,,,
,like uh,,,,,,
*RICH:,Cause they feel that,,,,,,
,she's gonna get too strong,,,,,,
,by me,,,,,,
,you know uh,,,,,,
,kissing her ass,,,,,,
*FRED:,Oh,,,,,,
*RICH:,or something or or or,,,,,,
*FRED:,Exactly,,,,,,
*RICH:,crawling back,,,,,,
*FRED:,I see,,,,,,
*RICH:,and begging her,,,,,,
,uh you know,,,,,,
*FRED:,,,,,,,
*RICH:,for me to come back or,,,,,,
*FRED:,She gonna get the upper hand,,,,,,
*RICH:,Exactly,,,,,,
*RICH:,Which,,,,,,
,which,,,,,,
,you know,,,,,,
,uh she probably already does,,,,,,
*RICH:,But,UI,T1,UI,I2,UNMATCH,T1
,um,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,I'm not gonna just wait for her to call me,,,,,,
,because it's not right,,,,,,
,I have feelings for her,,,,,,
,I wanna know,,,,,,
,you know,,,,,,
,how she's doing,,,,,,
*FRED:,doing,,,,,,
*RICH:,I'm gonna communicate with her,,,,,,
*RICH:,That's all there is to it,,,,,,
*RICH:,It's not like I w,,,,,,
*RICH:,I'm asking her,,,,,,
,you know,,,,,,
,let me move back in or,,,,,,
,you know,,,,,,
,I'm sorry I,,,,,,
*FRED:,You just,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,I just wanna remain friends with her,,,,,,
,and find out how she's doing,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,So they,,,,,,
,they tell,,,,,,
*RICH:,I don't tell em I call or nothing,,,,,,
*RICH:,You know,,,,,,
,and uh,,,,,,
,And I sent her flowers last week,,,,,,
,I sent her flowers to work,,,,,,
*FRED:,Yeah ,,,,,,
*RICH:,The day before I moved out,,,,,,
*FRED:,,,,,,,
*RICH:,Jus t to tell her I was sorry about everything that had happened,,,,,,
,and that uh,,,,,,
,you know I hope we could remain friends,,,,,,
,and that God brings us back together,,,,,,
,if it was meant to be,,,,,,
*FRED:,Yeah,,,,,,
*RICH:,And she was real happy about this,,,,,,
*RICH:,She said that really meant a lot to me,,,,,,
*RICH:,You know,,,,,,
,That you did send me flowers,,,,,,
,and uh,,,,,,
*FRED:,And then,,,,,,
*FRED:,Then the,,,,,,
,and what you wrote,,,,,,
*RICH:,Yeah,,,,,,
,exactly,,,,,,
*RICH:,Cause she knew it came from my heart,,,,,,
,no matter what,,,,,,
,I'd put her through and everything,,,,,,
,she knows deep down inside,,,,,,
,I really did love her,,,,,,
,but I had a problem or something,UI,T1,UI,T1,MATCH,T1
*FRED:,Yeah,,,,,,
*FRED:,You had to get something out of your system,,,,,,
*RICH:,And,,,,,,
,Yeah,,,,,,
*RICH:,But I don't even know what it is in fact,UI,I1,UI,I1,MATCH,I1
*RICH:,I might have to go to therapy or something,,,,,,
