speaker,script,position1,function1,position2,function2,match,agreement
*GARY:,Do you smell the dog on me,,,,,,
*GARY:,Yeah,,,,,,
*GARY:,Okay,,,,,,
*GARY:,down boy,,,,,,
*GARY:,Down boy,,,,,,
*GARY:,Mm kay,,,,,,
*GARY:,Jamie wrote this out,,,,,,
,in a hurry this morning,,,,,,
*JULI:,Yeah,,,,,,
,she said she thought she had,,,,,,
,gotten a brand inspection done,,,,,,
,since she got to Colorado,,,,,,
*JULI:,But then she said she didn't know where it was and,UI,T4,UI,T4,MATCH,T4
,that's what he wanted to know,,,,,,
*GARY:,I've never heard of it,,,,,,
*GARY:,So,,,,,,
*JULI:,P he uh,,,,,,
*JULI:,That's what I need to know,,,,,,
,he said if there was a prior brand inspection,,,,,,
,then he would have to go off of that one,,,,,,
*MATT:,l,,,,,,
*JULI:,If there was no prior brand inspection,,,,,,
*MATT:,,,,,,,
*JULI:,then he could just go off of this,,,,,,
,and issue me a new one,,,,,,
*GARY:,If,,,,,,
*GARY:,Is there a brand inspection,,,,,,
,if we bring one in from out of state,,,,,,
*JULI:,Well,,,,,,
,she said since it was not required in California when she bought the pony,,,,,,
,which it is now,,,,,,
,they reinstated it about a year ago,,,,,,
*GARY:,Oh,,,,,,
*JULI:,She,,,,,,
*JULI:,I thought she said she had had one done here,,,,,,
*GARY:,Oh,,,,,,
*JULI:,But,TI,T4,TI,T4,MATCH,T4
,if she didn't,,,,,,
*GARY:,I wouldn't know,,,,,,
*JULI:,you know,,,,,,
*GARY:,I don't do any horse things,,,,,,
*JULI:,I just need,,,,,,
*JULI:,All I need to kn ow is,,,,,,
,if she ever had one done,,,,,,
,or if she didn't,,,,,,
*JULI:,He said,,,,,,
,if she didn't have one done,,,,,,
,sh he'll just go off the papers,,,,,,
*GARY:,Yeah,,,,,,
*JULI:,And this,,,,,,
*GARY:,These papers here,,,,,,
*JULI:,Unhunh,,,,,,
*GARY:,Okay,,,,,,
*JULI:,And I sent in the l papers to be,,,,,,
,uh,,,,,,
,transferred to my name,,,,,,
*JULI:,l transferred,,,,,,
,since nineteen seventy seven laugh,,,,,,
*JULI:,I don't know how many owners she's had,,,,,,
*JULI:,But it hasn't,UI,T4,UI,T4,MATCH,T4
*GARY:,Wow,,,,,,
*JULI:,You don't remember the name of the people you bought her from,,,,,,
*JULI:,Do you,,,,,,
*GARY:,No,,,,,,
,but then that's not unusual,UI,T4,UI,T4,MATCH,T4
*JULI:,Yeah,,,,,,
*GARY:,cause I,,,,,,
*JULI:,You don't ride do you,,,,,,
*GARY:,I don't ride,,,,,,
,and I'm not involved,,,,,,
,the only thing I do is,,,,,,
,um,,,,,,
*JULI:,Pay the bills,,,,,,
*GARY:,I'm,,,,,,
*GARY:,No,,,,,,
*GARY:,She pays the bills laugh,,,,,,
,I,,,,,,
