speaker,script,position1,function1,position2,function2,match,agreement
*DAN:,l,,,,,,
,,,,,,,
*LUCY:,But it's amazing,TI,T4,TI,T4,MATCH,
*LUCY:,And they've done,,,,,,
*AL:,So they all done now,,,,,,
*LUCY:,my whole neighborhood,,,,,,
*LUCY:,Well no,,,,,,
,because they ordered the wrong storm doors,,,,,,
*LUCY:,They ordered the wrong color,,,,,,
*LUCY:,So they had to bring those back,,,,,,
,and reorder the white ones,,,,,,
*LUCY:,Um,,,,,,
,cause they brought black by mistake,,,,,,
*AL:,but that's the only thing they got left to do,TI,T4,TI,T4,MATCH,
*LUCY:,uh I think they finished the painting,,,,,,
*AL:,Why what were they paint,,,,,,
*LUCY:,Well they put new walls in the living room,,,,,,
*LUCY:,Soundproof walls on the outside of,,,,,,
,of the house,,,,,,
*LUCY:,And,,,,,,
,we have double windows now in the living room,,,,,,
*AL:,On the outside of the house,,,,,,
*LUCY:,No,,,,,,
*LUCY:,Oh,,,,,,
,that was good Dad,,,,,,
*JOHN:,At least it's not a seagull,,,,,,
*ANNE:,,,,,,,
*LUCY:,,,,,,,
*ANNE:,,,,,,,
*JOHN:,I,,,,,,
*LUCY:,But it look s like it John,TI,I1,TI,T1,UNMATCH,I1
*JOHN:,That,,,,,,
*JOHN:,that's ed ible,,,,,,
*JOHN:,I was afraid th a seagull got me,,,,,,
*LUCY:,,,,,,,
*ALLE:,l Boy,,,,,,
,oh,,,,,,
*LUCY:,,,,,,,
*ANNE:,,,,,,,
*AL:,Mess up poor John,,,,,,
*LUCY:,,,,,,,
,They did paint the trim on the outside of the house,,,,,,
*JOHN:,Oh now,,,,,,
,We'll get a napkin,,,,,,
*LIND:,No,,,,,,
*LIND:,No,,,,,,
*LIND:,No,,,,,,
,no,,,,,,
*JOHN:,Oh,,,,,,
*LIND:,Al,,,,,,
*JOHN:,no,,,,,,
,we'll get a napkin somewhere,,,,,,
,don't worry about it,,,,,,
*LIND:,Hm laugh,,,,,,
*ALLE:,,,,,,,
*JOHN:,It's me,,,,,,
*LUCY:,There was a whole bun ch of them,,,,,,
*ANNE:,What did he do,,,,,,
,spit on him,,,,,,
*JOHN:,This,,,,,,
*JOHN:,This is,,,,,,
*ANNE:,What'd you do,,,,,,
*DAN:,Nah he just dropped some uh,,,,,,
*ANNE:,spit on him,,,,,,
*LUCY:,No,,,,,,
,he dr,,,,,,
*LUCY:,he dropped Sa,,,,,,
*JOHN:,This isn't here,,,,,,
*LUCY:,dressing l,,,,,,
*ANNE:,,,,,,,
*DAN:,Sauce on it,,,,,,
*JOHN:,It's just me,,,,,,
*ANNE:,,,,,,,
*LUCY:,,,,,,,
*JOHN:,You laugh know laugh,,,,,,
*LUCY:,,,,,,,
*JOHN:,coffee stains on the sh irt,,,,,,
*LUCY:,,,,,,,
*DAN:,,,,,,,
*LUCY:,This is the guy that we thought had one outfit Annette,,,,,,
*JOHN:,,,,,,,
*DAN:,John likes it,,,,,,
,gives it charac ter,,,,,,
*ANNE:,,,,,,,
*LUCY:,for three years laugh,,,,,,
,un til l,,,,,,
*JOHN:,Yeah,,,,,,
*DAN:,Gives the pants character,,,,,,
*LUCY:,,,,,,,
*JOHN:,l,,,,,,
*LUCY:,,,,,,,
*ANNE:,Leave him alone,,,,,,
*ANNE:,He's got a toothache,,,,,,
*LUCY:,,,,,,,
*DAN:,You can't talk,,,,,,
,if you're not gonna sign my form,,,,,,
*ANNE:,Oh laugh,,,,,,
*LUCY:,Geez,,,,,,
,I remember a time when,,,,,,
*JOHN:,I tell you,,,,,,
,I feel better already,,,,,,
*LUCY:,John's shirts were all cranberry,,,,,,
*JOHN:,just listening to those guys,,,,,,
,putting those windows in in one afternoon,,,,,,
*LUCY:,,,,,,,
*ANNE:,And his sock s all had double stripes,,,,,,
*JOHN:,I say,,,,,,
,better laugh them than me,,,,,,
*LUCY:,I kn ow it,,,,,,
*AL:,I know that feeling,,,,,,
*LUCY:,Oh,,,,,,
*JOHN:,l,,,,,,
*LUCY:,But they paint,TI,T4,TI,T4,MATCH,
*ALLE:,That's like anything,,,,,,
*LUCY:,they p ainted the inside the wrong color,,,,,,
*LUCY:,We had ordered this,,,,,,
*LIND:,Well you got it on John,,,,,,
*LUCY:,Um,,,,,,
*ALLE:,Well laugh,,,,,,
*JOHN:,,,,,,,
*LUCY:,like an eggshell color,,,,,,
*LUCY:,Be,,,,,,
*JOHN:,Thank you Linda,,,,,,
*LUCY:,the color that we had the woodwork in the dining room,,,,,,
*ANNE:,,,,,,,
*LUCY:,Similar to that,,,,,,
*AL:,That's good,,,,,,
*LUCY:,Was on their list of colors you could use,,,,,,
*AL:,,,,,,,
,hm,,,,,,
*LUCY:,So that's the color,,,,,,
*LIND:,,,,,,,
*LUCY:,We h,,,,,,
*AL:,,,,,,,
*LUCY:,wanted them to paint the inside trim of the new door they put on,,,,,,
*LUCY:,The,,,,,,
*LUCY:,the h,,,,,,
*LUCY:,l,,,,,,
*LIND:,,,,,,,
,,,,,,,
*LUCY:,But they'd brought the wrong color paint,TI,T1,TI,T1,MATCH,
,so they painted it white the first day,,,,,,
*X:,,,,,,,
*LUCY:,and the guy,,,,,,
*LUCY:,Pat said he came in,,,,,,
,he had been at unemployment,,,,,,
,when he came back,,,,,,
,he said,,,,,,
,the guy said to him,,,,,,
,l oh my God,,,,,,
,we painted it the wrong color,,,,,,
*LUCY:,I just realized it,,,,,,
*LUCY:,Don't worry,,,,,,
,we'll be back tomorrow,,,,,,
*LUCY:,They came back the next day,,,,,,
,put two more l coats of paint on,,,,,,
,the right color,,,,,,
*LUCY:,,,,,,,
*JOHN:,Mm,,,,,,
*ANNE:,Good work ers,,,,,,
*LUCY:,But they stai ned the doors,TI,T1,TI,T1,MATCH,
*ALLE:,Yeah but the longer they're there,UI,T4,UI,I1,UNMATCH,T4
*LUCY:,and polyurethaned them,,,,,,
,and every,,,,,,
*AL:,So what did they do,,,,,,
*ALLE:,You gotta realize,,,,,,
,the longer they're there,,,,,,
,the longer their job'll last,,,,,,
*LUCY:,Well,,,,,,
,no,,,,,,
,but they,UI,I1,UI,I1,MATCH,
*LUCY:,it's done,,,,,,
*LUCY:,it's a money basis,,,,,,
*LUCY:,They get paid,,,,,,
