speaker,script,position1,function1,position2,function2,match,agreement
*DAN:,(..) &{l=X Eventually &}l=X ,,,,,,
,⌈ XXX X ⌉ +... ,,,,,,
*LUCY:,⌊ But it's amazing ⌋ . ,TI,T4,TI,T4,MATCH,
*LUCY:,And they've done . ,,,,,,
*AL:,(..) So they all done ⌈ now ⌉ ? ,,,,,,
*LUCY:,                      ⌊ my ⌋ whole neighborhood . ,,,,,,
*LUCY:,&=in Well no ,,,,,,
,because they ordered the wrong storm doors . ,,,,,,
*LUCY:,They ordered the wrong color . ,,,,,,
*LUCY:,So they had to bring those back ,,,,,,
,and reorder the white ones . ,,,,,,
*LUCY:,(..) U:m ,,,,,,
,(..) cause they brought black by mis⌈take ⌉ . ,,,,,,
*AL:,                                    ⌊ but that's the ⌋ only thing they got left to do ? ,TI,T4,TI,T4,MATCH,
*LUCY:,(..) ʔuh I think they finished the painting . ,,,,,,
*AL:,(..) Why what were they paint- ? ,,,,,,
*LUCY:,(..) Well they put new walls in the living room . ,,,,,,
*LUCY:,(..) Soundproof walls on the outside of ,,,,,,
,(..) of the house . ,,,,,,
*LUCY:,And ,,,,,,
,(..) we have double windows now in the li⌈ving room ⌉ . ,,,,,,
*AL:,                                         ⌊ On the out⌋side of the house ? ,,,,,,
*LUCY:,(..) No +/. ,,,,,,
*LUCY:,Oh ,,,,,,
,that was good Dad . ,,,,,,
*JOHN:,At ⌈ least it's ⌉ ⌈2 not a seagull ⌉2 . ,,,,,,
*ANNE:,   ⌊ &=laugh &=laugh ⌋ . ,,,,,,
*LUCY:,                  ⌊2 &=laugh &=lengthened ⌋2 ⌈3 &=laugh &=laugh ⌉3 &=laugh &=laugh . ,,,,,,
*ANNE:,                                             ⌊3 &=laugh ⌋3 . ,,,,,,
*JOHN:,I⌈4: ⌉4 +... ,,,,,,
*LUCY:, ⌊4 But ⌋4 it look⌈5s like it John ⌉5 . ,TI,I1,TI,T1,UNMATCH,I1
*JOHN:,                  ⌊5 That +/. ,,,,,,
*JOHN:,that's ed⌋5ible . ,,,,,,
